,team,manager
0,Arsenal,Mikel Arteta
1,Aston Villa,Dean Smith
2,Brighton and Hove Albion,Graham Potter
3,Burnley,Sean Dyche
4,Chelsea,Thomas Tuchel
5,Crystal Palace,Roy Hodgson
6,Everton,Carlo Ancelotti
7,Fulham,Scott Parker
8,Leeds,Marcelo Bielsa
9,Leicester City,Brendan Rodgers
10,Liverpool,Jürgen Klopp
11,Man City,Josep Guardiola
12,Man United,Ole Gunnar Solskjær
13,Newcastle United,Steve Bruce
14,Sheffield United,Paul Heckingbottom
15,Southampton,Ralph Hasenhüttl
16,Tottenham Hotspur,José Mourinho
17,West Bromwich Albion,Sam Allardyce
18,West Ham United,David Moyes
19,Wolves,Nuno Espírito Santo
